SalesPersonID,ProductID,Quantity,TotalSalesValue,SalesValuePerItem,tot_Sal_Val_to_Avg_Tot_Sal_Val_for_grp_salesP,Suspicious
C21448,PR6235,163.0,1890.0,11.595092024539877,0.05775727908095413,indeterminate
C21448,PR6286,4037.0,99125.0,24.554124349764678,3.029201211057978,indeterminate
C21448,PR6235,126.0,1200.0,9.523809523809524,0.0366712883053677,indeterminate
C21448,PR6331,570.0,4580.0,8.035087719298245,0.13996208369882007,indeterminate
C21448,PR6331,1447.0,17760.0,12.273669661368348,0.542735066919442,indeterminate
C21448,PR6331,718.0,6620.0,9.220055710306406,0.20230327381794516,indeterminate
C21448,PR6235,254.0,2140.0,8.4251968503937,0.06539713081123907,indeterminate
C21448,PR6331,1150.0,9365.0,8.143478260869566,0.28618884581647375,indeterminate
C21448,PR6286,4291.0,111245.0,25.925192262875786,3.399581222942192,indeterminate
C21448,PR6286,3637.0,91345.0,25.11547979103657,2.7914490252115107,indeterminate
C21448,PR6235,135.0,1230.0,9.11111111111111,0.03758807051300189,indeterminate
C21448,PR6286,5167.0,140030.0,27.100832204373912,4.279233751167199,indeterminate
C21448,PR6253,103.0,1410.0,13.689320388349515,0.04308876375880705,indeterminate
C21448,PR6331,781.0,5950.0,7.618437900128041,0.18182847118078152,indeterminate
C21448,PR6227,105.0,1015.0,9.666666666666666,0.03101779802495685,indeterminate
C21448,PR6253,100.0,1860.0,18.6,0.056840496873319935,indeterminate
C21448,PR6286,3532.0,93295.0,26.414212910532278,2.851039868707733,indeterminate
C21448,PR6286,3636.0,94035.0,25.862211221122113,2.8736538298293763,indeterminate
C21448,PR6235,108.0,1070.0,9.907407407407407,0.03269856540561954,indeterminate
C21448,PR6331,718.0,6330.0,8.816155988857938,0.19344104581081462,indeterminate
C21448,PR6253,281.0,7935.0,28.23843416370107,0.24248889391924391,indeterminate
C21448,PR6227,500.0,1855.0,3.71,0.05668769983871424,indeterminate
C21448,PR6253,171.0,1385.0,8.099415204678362,0.04232477858577856,indeterminate
C21448,PR6286,1597.0,36295.0,22.726988102692548,1.1091536742027672,indeterminate
C21448,PR6286,5167.0,140045.0,27.103735242887556,4.279692142271016,indeterminate
C21448,PR6253,120.0,1995.0,16.625,0.0609660168076738,indeterminate
C21448,PR6253,115.0,2520.0,21.91304347826087,0.07700970544127217,indeterminate
C22174,PR6326,82.0,1165.0,14.207317073170731,0.0766573449580523,indeterminate
C22174,PR6331,110.0,1540.0,14.0,0.10133245599605198,indeterminate
C22174,PR6403,105.0,2170.0,20.666666666666668,0.14278664253989143,indeterminate
C22174,PR6160,101.0,1090.0,10.792079207920793,0.07172232275045237,indeterminate
C22174,PR6596,103.0,1270.0,12.330097087378642,0.08356637604869221,indeterminate
C22174,PR6282,255.0,2420.0,9.490196078431373,0.15923671656522453,indeterminate
C22174,PR6148,92.0,1160.0,12.608695652173912,0.07632834347754565,indeterminate
C22174,PR6297,100.0,1195.0,11.95,0.07863135384109228,indeterminate
C22174,PR6293,102.0,1430.0,14.019607843137255,0.09409442342490541,indeterminate
C22174,PR6160,100.0,1075.0,10.75,0.07073531830893239,indeterminate
C22174,PR6160,117.0,1265.0,10.811965811965813,0.08323737456818556,indeterminate
C22174,PR6116,102.0,1035.0,10.147058823529411,0.0681033064648791,indeterminate
C22174,PR6227,188.0,5885.0,31.3031914893617,0.3872347425563415,indeterminate
C22174,PR6690,23388.0,64660.0,2.7646656404994014,4.254647145912156,indeterminate
C22174,PR6629,123.0,2415.0,19.634146341463413,0.15890771508471788,indeterminate
C22174,PR6331,83.0,1055.0,12.710843373493976,0.06941931238690574,indeterminate
C22174,PR6690,23638.0,66615.0,2.818131821643117,4.383286724790262,indeterminate
C22174,PR6293,102.0,1440.0,14.117647058823529,0.09475242638591874,indeterminate
C22174,PR6582,118.0,1190.0,10.084745762711865,0.07830235236058562,indeterminate
C22174,PR6253,90.0,1005.0,11.166666666666666,0.06612929758183912,indeterminate
C22174,PR6616,105.0,1005.0,9.571428571428571,0.06612929758183912,indeterminate
C22174,PR6326,73.0,1045.0,14.315068493150685,0.06876130942589241,indeterminate
C22174,PR6282,801.0,5800.0,7.240948813982522,0.38164171738772823,indeterminate
C22174,PR6297,100.0,2200.0,22.0,0.1447606514229314,indeterminate
C22174,PR6160,96.0,1035.0,10.78125,0.0681033064648791,indeterminate
C22174,PR6148,86.0,1085.0,12.616279069767442,0.07139332126994571,indeterminate
C22174,PR6160,126.0,1365.0,10.833333333333334,0.08981740417831881,indeterminate
C22174,PR6253,100.0,1160.0,11.6,0.07632834347754565,indeterminate
C22174,PR6253,101.0,1220.0,12.07920792079208,0.0802763612436256,indeterminate
C22174,PR6690,121594.0,335110.0,2.7559748013882266,22.05033722651752,indeterminate
C22174,PR6326,76.0,1090.0,14.342105263157896,0.07172232275045237,indeterminate
C22174,PR6607,102.0,1155.0,11.323529411764707,0.07599934199703899,indeterminate
C22174,PR6596,102.0,1175.0,11.519607843137255,0.07731534791906564,indeterminate
C22174,PR6616,100.0,1190.0,11.9,0.07830235236058562,indeterminate
C21236,PR6675,305.0,32915.0,107.91803278688525,3.5068597454684403,indeterminate
C21236,PR6229,128.0,1130.0,8.828125,0.12039348359044015,indeterminate
C21236,PR6693,100.0,1010.0,10.1,0.1076083348905704,indeterminate
C21236,PR6678,584.0,64270.0,110.0513698630137,6.847512557838574,No
C21236,PR6596,102.0,1150.0,11.27450980392157,0.12252434170708511,indeterminate
C21236,PR6229,130.0,1215.0,9.346153846153847,0.12944963058618122,indeterminate
C21236,PR6682,210.0,12180.0,58.0,1.2976925930367798,indeterminate
C21236,PR6679,886.0,68845.0,77.70316027088036,7.334946352021108,indeterminate
C21236,PR6683,121.0,3500.0,28.925619834710744,0.3729001704128677,indeterminate
C21236,PR6678,113.0,2645.0,23.4070796460177,0.28180598592629574,indeterminate
C21236,PR6679,403.0,26400.0,65.50868486352357,2.812732713971345,indeterminate
C21236,PR6679,171.0,7830.0,45.78947368421053,0.8342309526665013,indeterminate
C21236,PR6596,101.0,1040.0,10.297029702970297,0.11080462206553783,indeterminate
C21236,PR6229,130.0,1125.0,8.653846153846153,0.1198607690612789,indeterminate
C21236,PR6596,101.0,1050.0,10.396039603960396,0.11187005112386032,indeterminate
C21236,PR6646,100.0,1445.0,14.45,0.15395449892759824,indeterminate
C21236,PR6229,131.0,1100.0,8.396946564885496,0.11719719641547272,indeterminate
C21236,PR6229,183.0,1215.0,6.639344262295082,0.12944963058618122,indeterminate
C21236,PR6692,100.0,1020.0,10.2,0.10867376394889287,indeterminate
C21236,PR6677,103.0,1520.0,14.757281553398059,0.16194521686501684,indeterminate
C21236,PR6229,138.0,1090.0,7.898550724637682,0.11613176735715024,indeterminate
C21236,PR6253,113.0,1120.0,9.91150442477876,0.11932805453211767,indeterminate
C21236,PR6677,335.0,13970.0,41.701492537313435,1.4884043944765035,indeterminate
C21236,PR6679,1558.0,88545.0,56.83247753530167,9.433841596916393,indeterminate
C21236,PR6679,846.0,60750.0,71.80851063829788,6.472481529309061,indeterminate
C21236,PR6682,128.0,5450.0,42.578125,0.5806588367857511,indeterminate
C21236,PR6677,156.0,7610.0,48.782051282051285,0.8107915133834067,indeterminate
C21236,PR6682,142.0,4125.0,29.049295774647888,0.43948948655802267,indeterminate
C21236,PR6686,161.0,6075.0,37.732919254658384,0.6472481529309061,indeterminate
C21236,PR6596,105.0,1350.0,12.857142857142858,0.1438329228735347,indeterminate
C21236,PR6682,152.0,7535.0,49.57236842105263,0.802800795445988,indeterminate
C21236,PR6408,112.0,15690.0,140.08928571428572,1.6716581925079699,indeterminate
C21236,PR6596,86.0,1010.0,11.744186046511627,0.1076083348905704,indeterminate
C21236,PR6595,100.0,1005.0,10.05,0.10707562036140916,No
C21236,PR6229,170.0,1220.0,7.176470588235294,0.12998234511534246,indeterminate
C21236,PR6253,360.0,2525.0,7.013888888888889,0.269020837226426,No
C21236,PR6683,123.0,6020.0,48.94308943089431,0.6413882931101325,indeterminate
C21236,PR6683,332.0,27610.0,83.16265060240964,2.941649630028365,indeterminate
